iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
376,6459861,0.39999992,8,0,2,390,5.625,11
377,693037,0.87999946,0,0,0,0,0.0,0
378,10881267,0.8399995,0,4,19,377,12.865,19
379,824277,0.32,0,5,16,379,4.4,9
380,21214438,0.78999954,7,0,8,385,12.115,17
381,17640958,0.45999986,0,9,6,385,6.86,11
382,5263791,0.68999964,5,0,17,378,10.39,16
383,2321839,0.58999974,2,1,12,385,8.805,14
384,5603646,0.3,0,6,11,383,3.99,10
385,12643794,0.9299994,5,0,15,380,14.245,20
386,3102295,0.69999963,4,0,10,386,10.48,15
387,2084756,0.8099995,0,0,0,0,0.0,0
388,12721070,0.35999995,0,8,12,380,5.225,10
389,5137882,0.57999974,8,0,11,381,8.68,14
390,5847553,0.5399998,6,0,9,385,8.025,12
391,18727189,0.69999963,7,0,7,386,10.54,16
392,2492397,0.8599995,0,5,10,385,13.26,19
393,17738993,0.5499998,7,0,4,389,8.385,13
394,3240008,0.89999944,4,0,23,373,13.84,19
395,17596913,0.4199999,7,0,10,383,6.165,11
396,5899197,0.57999974,7,0,3,390,8.8,14
397,12684436,0.32999998,7,0,10,383,4.62,9
398,5891748,0.56999975,5,0,15,380,8.495,14
399,21141948,0.8299995,0,0,0,0,0.0,0
400,18087835,0.97999936,0,0,0,0,0.0,0
401,14371065,0.7099996,0,0,0,0,0.0,0
402,1925603,0.4099999,5,0,11,384,6.2,11
403,6421018,0.35999995,0,9,20,371,5.27,10
404,9853604,0.67999965,0,7,9,384,10.19,17
405,20152037,0.6199997,2,3,13,382,9.465,14
406,2838672,0.8299995,8,0,17,375,12.87,18
407,13392463,0.87999946,5,0,15,380,13.445,19
408,59080,0.43999988,6,0,8,386,6.635,12
409,8675432,0.34999996,5,1,14,380,4.93,10
410,7010381,0.98999935,0,0,0,0,0.0,0
411,3202529,0.9499994,0,0,0,0,0.0,0
412,17455715,0.9499994,0,7,17,376,14.53,20
413,13602482,0.38999993,0,8,18,374,5.915,10
414,3344966,0.47999984,6,0,4,390,7.175,11
415,3315012,0.4199999,0,6,10,384,5.995,10
416,2215288,0.34999996,5,0,9,386,4.755,10
417,988083,0.6499997,8,0,6,386,9.585,14
418,10956441,0.87999946,0,8,14,378,13.535,19
419,488240,0.48999983,0,3,10,387,7.29,12
420,19271127,0.46999985,6,0,4,390,6.84,11
421,10084054,0.9699994,0,0,0,0,0.0,0
422,13843258,0.6099997,5,0,4,391,9.12,14
423,2743712,0.69999963,0,4,12,384,10.45,15
424,11003274,0.89999944,6,0,13,381,13.81,19
425,860690,0.38999993,5,0,6,389,5.58,10
426,13565555,0.36999995,5,0,9,386,5.46,11
427,6340602,0.3,8,0,6,386,4.18,8
